website,datetime,hop,vpn,ip,speed1,speed2,speed3
amazon.sg,2023-10-09 01:15:05,2,malaysia,173.239.236.125,52.985,102.708,48.209
amazon.sg,2023-10-09 01:15:05,3,malaysia,185.156.45.96,50.137,,
amazon.sg,2023-10-09 01:15:05,3.1,malaysia,185.156.45.100,49.393,,
amazon.sg,2023-10-09 01:15:05,3.2,malaysia,185.156.45.98,50.133,,
amazon.sg,2023-10-09 01:15:05,4,malaysia,138.199.0.223,49.697,48.914,51.114
amazon.sg,2023-10-09 01:15:05,5,malaysia,99.83.95.74,51.424,48.155,48.264
amazon.sg,2023-10-09 01:15:05,6,malaysia,52.93.10.172,53.469,,
amazon.sg,2023-10-09 01:15:05,6.1,malaysia,52.93.10.158,51.434,,
amazon.sg,2023-10-09 01:15:05,6.2,malaysia,52.93.10.170,66.376,,
amazon.sg,2023-10-09 01:15:05,7,malaysia,52.93.8.157,55.507,,
amazon.sg,2023-10-09 01:15:05,7.1,malaysia,15.230.209.60,53.697,,
amazon.sg,2023-10-09 01:15:05,7.2,malaysia,15.230.209.44,60.097,,
amazon.sg,2023-10-09 01:15:05,8,malaysia,54.239.40.253,51.185,,
amazon.sg,2023-10-09 01:15:05,8.1,malaysia,52.93.10.115,52.515,,
amazon.sg,2023-10-09 01:15:05,9,malaysia,52.93.9.68,48.923,,
amazon.sg,2023-10-09 01:15:05,10,malaysia,54.239.40.253,49.443,,
amazon.sg,2023-10-09 01:15:05,11,malaysia,52.93.9.46,50.426,,
amazon.sg,2023-10-09 01:15:05,11.1,malaysia,52.93.9.18,53.539,,
amazon.co.uk,2023-10-09 01:15:44,2,malaysia,173.239.236.124,80.908,47.438,
amazon.co.uk,2023-10-09 01:15:44,2.1,malaysia,173.239.236.125,74.972,,
amazon.co.uk,2023-10-09 01:15:44,3,malaysia,185.156.45.94,50.907,57.030,
amazon.co.uk,2023-10-09 01:15:44,3.1,malaysia,185.156.45.100,52.266,,
amazon.co.uk,2023-10-09 01:15:44,4,malaysia,63.218.107.129,51.740,,
amazon.co.uk,2023-10-09 01:15:44,5,malaysia,63.216.144.10,51.631,,
amazon.co.uk,2023-10-09 01:15:44,5.1,malaysia,63.223.34.54,69.968,,
amazon.co.uk,2023-10-09 01:15:44,5.2,malaysia,63.216.144.10,47.125,,
amazon.co.uk,2023-10-09 01:15:44,6,malaysia,129.250.5.61,53.934,,
amazon.co.uk,2023-10-09 01:15:44,7,malaysia,154.54.87.210,215.047,197.378,192.311
amazon.co.uk,2023-10-09 01:15:44,8,malaysia,154.54.72.109,217.546,203.236,210.981
amazon.co.uk,2023-10-09 01:15:44,9,malaysia,154.54.38.66,210.233,,
amazon.co.uk,2023-10-09 01:15:44,9.1,malaysia,129.250.4.148,234.137,,
amazon.co.uk,2023-10-09 01:15:44,9.2,malaysia,129.250.7.87,224.870,,
amazon.co.uk,2023-10-09 01:15:44,10,malaysia,168.143.97.214,261.198,,
amazon.co.uk,2023-10-09 01:15:44,10.1,malaysia,149.6.165.82,226.530,,
amazon.co.uk,2023-10-09 01:15:44,10.2,malaysia,168.143.97.214,262.465,,
amazon.co.uk,2023-10-09 01:15:44,11,malaysia,15.230.156.21,238.689,,
amazon.co.uk,2023-10-09 01:15:44,11.1,malaysia,52.46.95.84,262.092,,
amazon.co.uk,2023-10-09 01:15:44,11.2,malaysia,52.46.95.112,247.897,,
amazon.co.uk,2023-10-09 01:15:44,13,malaysia,52.46.94.215,211.972,,
amazon.co.uk,2023-10-09 01:15:44,13.1,malaysia,52.46.94.219,230.788,,
amazon.co.uk,2023-10-09 01:15:44,13.2,malaysia,52.46.94.217,218.179,,
amazon.co.uk,2023-10-09 01:15:44,14,malaysia,54.239.114.89,247.457,,
amazon.co.uk,2023-10-09 01:15:44,14.1,malaysia,15.230.82.172,246.389,,
amazon.co.uk,2023-10-09 01:15:44,14.2,malaysia,15.230.82.192,238.214,,
amazon.co.uk,2023-10-09 01:15:44,15,malaysia,15.230.82.224,233.520,,
